sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_consensus,20,source_count,5+,389,365,25,0.3676092544987147,0.3212066534250676,0.416601155116594,0.36246786632390743,-0.03314903639333614,-0.03859250851305329,-0.039779546752380185,-0.033586604294843725,-0.08268951959331744,0.0005352287100112388
all_events,smart_consensus,20,agreement,split,412,395,37,0.33495145631067963,0.2910867497281388,0.3818656436831986,0.3300970873786408,-0.024751244041798456,-0.039881808219153714,-0.030417869721782117,-0.0353527532373612,-0.055564214957601825,-0.0025210183243624877
all_events,smart_consensus,20,agreement,unanimous,426,418,85,0.5023474178403756,0.45505845109794385,0.5495944256827121,0.5,-0.003365508762593975,0.000797141563753101,-0.010764799645610744,-0.007458344204846035,-0.03808558016625967,0.01511765653325353
all_events,smart_consensus,20,period,first_half_through_2026-01-26,166,166,31,0.5240963855421686,0.44843914393929696,0.59866356823487,0.5120481927710844,-0.004639628828894576,0.004805891920140581,-0.011852112754708839,-0.008160970478647389,-0.04388537638466759,0.020189408070933043
all_events,smart_consensus,20,period,second_half_after_2026-01-26,672,647,86,0.3943452380952381,0.35809540173874255,0.43179619416183546,0.39285714285714285,-0.016162263232871274,-0.03150522863646649,-0.022484225772314622,-0.02896744512780902,-0.04470732989779727,0.0016847734655197966
all_events,smart_consensus,20,consensus_overlap,standalone,838,813,91,0.4200477326968974,0.3870689934058702,0.4537561689524643,0.41646778042959426,-0.013879736608694506,-0.02505795258189747,-0.020313339227514427,-0.023121659975725017,-0.038946722602954245,-0.000722517623563683
all_events,smart_consensus,60,direction,bear,52,50,12,0.21153846153846154,0.12244245849448492,0.34032365135910086,0.21153846153846154,-0.11368919392690861,-0.12632655823902594,-0.01962529507853455,-0.04407762359696055,-0.06353133342809182,0.046781002394377436
all_events,smart_consensus,60,direction,bull,388,388,54,0.4536082474226804,0.4047670540144541,0.5033590867526313,0.4484536082474227,0.0905786542187425,-0.012966701543889403,0.04267329333776029,-0.05401483674882812,-0.06943188213091153,0.21076097228239452
all_events,smart_consensus,60,source_count,2,129,129,54,0.4418604651162791,0.3590743988197216,0.5280091653649917,0.4418604651162791,0.08540574185578154,-0.023946360153256685,0.04647831107919712,-0.04157904027566783,-0.0754092509153944,0.19353637414883518
all_events,smart_consensus,60,source_count,3,86,86,28,0.5581395348837209,0.4529326746260169,0.6583743368252482,0.5465116279069767,0.12306115556742514,0.024615309194626955,0.09303299761234232,-0.015115594580874192,-0.0269270941016475,0.22289415035819934
all_events,smart_consensus,60,source_count,4,76,76,17,0.32894736842105265,0.2337912044636209,0.44056401887859675,0.32894736842105265,-0.010188297950513844,-0.032633225226832485,-0.041188680774115256,-0.06326512310760662,-0.09985519300961866,0.05747652766843114
all_events,smart_consensus,60,source_count,5+,149,147,11,0.3825503355704698,0.3083944782946589,0.46261027433813223,0.37583892617449666,0.05641872697125848,-0.03429225897729571,0.03203927126584461,-0.06369188359625322,-0.10335426207295957,0.34511027375000675
all_events,smart_consensus,60,agreement,split,205,203,21,0.36585365853658536,0.30294717071792815,0.43369533728813964,0.35609756097560974,0.02969986039372121,-0.044893129206419746,0.004626592361002024,-0.06444947054157857,-0.08306868428246553,0.19963974850706112
all_events,smart_consensus,60,agreement,unanimous,235,235,55,0.4765957446808511,0.41362862695668406,0.5403157445430883,0.4765957446808511,0.0984859930721702,-0.007575386524301675,0.062284148135492996,-0.03856698552992299,-0.05439147624660626,0.2015922584516008
